feature,importance
V11,1136
V4,1119
Amount,1073
Time,1067
V17,1053
V14,965
V13,962
V12,952
V1,902
V16,901
V21,885
V26,860
V22,841
V3,825
V10,795
V24,783
V15,778
V9,769
V19,753
V8,710
