feature,importance
V16,313
V12,312
V4,306
V14,277
V11,275
Amount,261
V26,245
V17,244
Time,243
V10,230
V1,228
V21,226
V13,214
V24,208
V19,205
V15,200
V8,196
V3,176
V9,164
V22,155
