feature,importance
V12,194
V4,192
V14,145
V10,106
V11,100
V1,88
V26,87
V17,84
V13,78
V8,76
V19,67
Time,66
V22,58
V18,58
V16,54
V3,53
V15,46
V21,42
Amount,42
V20,41
