feature,importance
Time,448
V4,424
V14,419
Amount,412
V12,412
V17,407
V13,406
V26,397
V11,395
V16,379
V1,363
V10,341
V8,328
V3,322
V24,305
V21,304
V15,293
V22,288
V19,281
V9,275
