feature,importance
V14,228
V4,159
__row_id,138
Amount,132
Time,132
V24,129
V12,127
V26,119
V3,119
V1,119
V11,113
V16,112
V17,109
V18,98
V13,98
V10,97
V22,96
V8,96
V15,92
V6,85
