feature,importance
Time,634
V14,608
V4,535
V26,468
Amount,460
V12,452
V16,445
V13,430
V1,426
V17,416
V3,411
V11,404
V8,383
V10,364
V24,356
V21,341
V19,336
V15,310
V6,309
V22,307
