feature,importance
V14,110
Time,93
V12,92
V26,87
V17,83
V11,78
Amount,77
V4,77
V1,76
V13,74
V8,74
V6,69
V10,67
V21,66
V24,66
V16,66
V19,64
__row_id,64
V3,61
V15,61
