feature,importance
V11,221
Amount,207
V14,205
V17,193
Time,172
V12,170
V16,164
V4,159
V7,158
V10,158
V1,152
V24,148
V8,145
V22,144
V19,144
V15,144
V3,140
V9,134
V26,132
V6,130
