feature,importance
V12,214
V4,197
V14,159
V11,142
V1,142
V10,137
V26,134
V8,133
V13,130
V17,129
Time,128
V16,123
V19,123
V21,118
Amount,117
V3,97
V15,90
V22,81
V18,69
__row_id,69
