feature,importance
V14,80
V4,60
V12,54
V17,50
Amount,49
V13,49
V10,47
V11,45
V1,44
V26,43
Time,41
V8,40
__row_id,39
V16,37
V3,35
V2,32
V24,32
V21,31
V6,31
V9,28
