feature,importance
V14,109
V4,79
V12,78
V10,57
V8,54
Amount,53
V13,51
V26,50
V11,49
Time,47
V17,47
V16,47
V1,47
__row_id,46
V3,43
V18,37
V22,36
V21,36
V19,34
V24,32
