feature,importance
V11,292
V14,255
V17,252
V13,229
V12,228
Time,227
V16,222
V26,221
V1,219
V10,214
V22,212
Amount,208
V3,196
V4,195
V8,194
V24,193
V15,189
V7,186
V19,177
V28,172
