feature,importance
V17,425
V11,389
V14,377
Time,368
V12,361
Amount,358
V16,358
V1,349
V13,349
V4,332
V26,323
V15,315
V3,310
V22,308
V10,297
V8,283
V6,283
V24,278
V21,277
V19,275
