feature,importance
V11,127
V14,127
Time,119
V17,115
V26,114
V12,113
V4,110
V1,109
V16,103
V24,103
V8,103
V10,103
V3,102
Amount,101
V22,98
V25,92
V15,92
V13,90
V6,87
V19,86
