feature,importance
V4,130
V12,129
V14,122
V8,57
V13,51
V17,50
V11,45
V1,38
V10,38
Amount,34
V19,26
V3,19
Time,18
V15,18
V9,18
V18,17
V16,15
V26,14
V2,8
V22,8
