feature,importance
V14,74
V4,46
V8,43
V12,43
__row_id,41
V10,38
V13,37
Amount,35
V17,35
V1,34
Time,34
V26,33
V24,33
V16,33
V3,32
V11,31
V7,28
V19,25
V15,25
V18,24
