feature,importance
V14,136
V4,109
V12,99
V8,54
V13,50
Amount,48
V10,44
V3,43
V17,42
V11,41
V1,40
Time,38
V21,35
V26,34
V9,33
V16,29
V19,25
__row_id,24
V2,19
V15,19
