feature,importance
V17,794
V11,788
V4,747
Amount,741
V16,720
V12,718
Time,711
V14,684
V13,681
V26,675
V10,644
V1,634
V21,592
V3,570
V15,567
V24,561
V22,554
V19,540
V6,537
V7,525
