feature,importance
V14,236
V4,193
V12,156
V8,126
Time,120
V10,119
Amount,117
V26,115
V11,113
V13,104
V16,103
V1,99
V17,99
V3,94
V21,91
__row_id,90
V19,80
V22,74
V18,72
V2,72
