feature,importance
V14,289
V4,284
Time,261
V17,241
V26,223
Amount,220
V16,220
V12,218
V13,212
V11,204
V1,198
V8,197
__row_id,185
V10,183
V3,174
V21,173
V22,172
V24,169
V6,155
V9,152
