feature,importance
Time,224
V14,220
V12,211
V17,205
V11,197
V13,194
Amount,187
V1,184
V16,183
V26,182
V10,171
V4,170
V15,157
V8,156
V22,153
V21,153
V6,141
V24,137
V3,135
__row_id,134
