feature,importance
V14,0.63133067
V10,0.06406013
V4,0.048879884
V12,0.03499032
V17,0.025531135
V1,0.013579971
V8,0.013181795
V13,0.012115768
V11,0.010876156
V3,0.010527963
V9,0.010394235
V26,0.009437796
V19,0.009334969
Amount,0.0088916905
V21,0.008762242
V15,0.0073984927
Time,0.007356372
V16,0.007238861
V20,0.0072311717
V18,0.0071142237
