trial_number,learning_rate,num_leaves,val_roc_auc,val_pr_auc,val_recall,val_precision,val_fpr,run_id
6,0.18886836854277977,255,0.9782707469594478,0.7584089425776143,0.7551020408163265,1.0,0.0002462014631401238,d1f4bd1c2f624b6ab7faa195fb76b656
16,0.21239658649068563,31,0.9762961107346708,0.5878683725621636,0.7959183673469388,1.0,0.0049943725379853685,7900fb56c8d147a698544c791ec05d6b
0,0.2607845661431983,31,0.975454144798043,0.4352052165924728,0.7959183673469388,1.0,0.005064715813168261,b4c11c95ebd3459b948773741307a52e
19,0.09960227502813976,63,0.9741204937236572,0.6633668903141028,0.7755102040816326,1.0,0.0021102982554867754,ce2ceaa4aabd4f5296b78913aede4190
2,0.014542297625712353,31,0.974028257898545,0.6484265351848235,0.7755102040816326,1.0,0.004220596510973551,a76a6f9eb6de4b5bb2bde4d62dcbe6a8
4,0.057095990814918826,63,0.9739600679889289,0.6670525528820791,0.7959183673469388,1.0,0.0010199774901519414,10c2e697c5ab45bfb89b6aa165f8fbe6
9,0.02040702831015291,31,0.9726791743709302,0.652874624376592,0.7959183673469388,1.0,0.004185424873382105,29e146a3ab064a9e81e821410e6217fa
5,0.04819078073374973,15,0.9720665418671689,0.6578564284753933,0.7959183673469388,1.0,0.0066474395047833425,8952f59c112b460ba619e4c316b649be
3,0.011379403884142913,63,0.9711301867398621,0.6590118470565339,0.7755102040816326,1.0,0.0016882386043894203,2149e5860ffe4513bc66107b0c52df04
7,0.08300196303508148,15,0.9706033299645126,0.6165552955258956,0.7959183673469388,1.0,0.0068936409679234666,898c92da34064ea38c2a34d64b389c63
11,0.28826709758987257,31,0.9704249595167274,0.6302342501803536,0.7959183673469388,1.0,0.00488885762521103,d0b5999da52d4280aa2fddefe7ef3bef
14,0.17077750862640623,31,0.967960432625498,0.5845811055769983,0.7755102040816326,1.0,0.004853685987619583,455c24f963384255ba445b6ab59b76ec
13,0.1489314279379789,127,0.9656193653601002,0.7614597108443303,0.7346938775510204,1.0,0.00035171637591446255,ca55e5b33d224cd5a023f279955b8c15
18,0.20732734888563553,127,0.9607656793724805,0.718468174651119,0.7551020408163265,1.0,0.0003165447383230163,6fa00669018e449bb94bd833aba5af05
10,0.2974780446476411,127,0.9601153629713,0.6673432674643213,0.7755102040816326,1.0,0.0007386043894203714,23bd6942c65b40a4b578b4220651c478
8,0.0873073444298486,255,0.9594682766184696,0.641425732433154,0.7142857142857143,1.0,0.0004220596510973551,30906ba7e7f94dd4885d13b890946411
12,0.16127971109723133,255,0.9555057250812536,0.6353101436528799,0.7346938775510204,1.0,0.0005275745638716939,39068d6aad404f83b543ae353889de6e
15,0.03101497435696204,255,0.9552939774671826,0.6426898264919293,0.7142857142857143,1.0,0.0002813731007315701,5908e650df7a4115a867f787ee78c855
17,0.10991516433456643,255,0.9451975641128708,0.631337156287679,0.7142857142857143,1.0,0.0005979178390545863,57ddc48ad7744d4c9f266fcbac24e259
1,0.060159508122008085,255,0.9438380726516832,0.6404559905603404,0.7142857142857143,1.0,0.00035171637591446255,8c5530a52fbd4eaeb89b42739b01f83c
