feature,importance
Amount,377
V4,367
V16,365
V11,350
V17,348
V12,343
V14,339
V10,311
Time,301
V1,300
V13,285
V8,284
V26,268
V21,267
V24,245
V9,235
V3,233
V19,222
V22,219
V15,214
