feature,importance
V14,76
V4,63
V12,49
V10,44
V17,42
V8,41
V11,39
Amount,37
__row_id,36
V26,35
V1,33
V16,31
V13,29
V22,28
Time,28
V9,25
V24,24
V7,23
V18,23
V3,23
