feature,importance
V14,64
Time,55
V12,53
V3,51
V17,50
V16,49
V26,47
Amount,46
V10,45
V4,42
V11,41
V22,40
V1,40
V8,39
V13,37
V19,33
V21,33
V2,32
__row_id,31
V6,31
