feature,importance
V14,43
V4,32
V12,30
V17,20
V8,20
V11,20
V18,19
__row_id,18
V3,18
V16,18
V10,18
V1,17
V13,15
V15,15
V22,14
V26,14
Amount,13
Time,13
V6,13
V21,12
